# Time(s) fish0X fish0Y
927.000 0.379 0.025
928.000 0.572 0.014
929.000 0.776 0.011
930.000 0.960 0.015
931.000 1.141 0.054
932.000 1.190 0.207
933.000 1.195 0.410
934.000 1.187 0.621
935.000 1.168 0.818
936.000 1.177 1.004
937.000 1.107 1.164
938.000 0.927 1.165
939.000 0.743 1.188
940.000 0.561 1.180
941.000 0.356 1.186
942.000 0.179 1.142
943.000 0.035 1.080
944.000 0.018 0.895
945.000 0.034 0.723
946.000 0.036 0.531
947.000 0.016 0.347
948.000 0.051 0.151
949.000 0.142 0.033
950.000 0.310 0.022
951.000 0.524 0.013
952.000 0.707 0.026
953.000 0.885 0.033
954.000 1.060 0.043
955.000 1.188 0.130
956.000 1.180 0.301
957.000 1.177 0.485
958.000 1.154 0.687
959.000 1.065 0.849
960.000 0.964 0.954
961.000 0.997 1.098
962.000 1.052 1.183
963.000 1.088 1.180
964.000 0.929 1.187
965.000 0.754 1.181
966.000 0.555 1.171
967.000 0.364 1.186
968.000 0.173 1.122
969.000 0.044 1.031
970.000 0.017 0.873
971.000 0.035 0.703
972.000 0.061 0.535
973.000 0.129 0.362
974.000 0.234 0.253
975.000 0.258 0.153
976.000 0.374 0.069
977.000 0.552 0.080
978.000 0.753 0.113
979.000 0.947 0.194
980.000 1.071 0.372
981.000 1.109 0.577
982.000 1.031 0.753
983.000 0.957 0.910
984.000 0.901 1.023
985.000 0.912 1.175
986.000 1.014 1.189
987.000 1.103 1.185
988.000 1.178 1.174
989.000 1.146 1.167
990.000 1.046 1.181
991.000 0.879 1.193
992.000 0.705 1.192
993.000 0.498 1.192
994.000 0.294 1.180
995.000 0.098 1.170
996.000 0.026 1.059
997.000 0.021 0.880
998.000 0.014 0.694
999.000 0.023 0.493
1000.000 0.015 0.299
1001.000 0.034 0.098
1002.000 0.134 0.024
1003.000 0.302 0.024
1004.000 0.478 0.014
1005.000 0.688 0.008
1006.000 0.893 0.018
1007.000 1.081 0.022
1008.000 1.188 0.118
1009.000 1.191 0.279
1010.000 1.200 0.485
1011.000 1.174 0.671
1012.000 1.191 0.854
1013.000 1.187 1.036
1014.000 1.118 1.186
1015.000 0.969 1.162
1016.000 0.812 1.191
1017.000 0.605 1.184
1018.000 0.414 1.189
1019.000 0.222 1.180
1020.000 0.056 1.155
1021.000 0.030 1.008
1022.000 0.019 0.834
1023.000 0.013 0.650
1024.000 0.030 0.474
1025.000 0.048 0.304
1026.000 0.048 0.123
1027.000 0.139 0.027
1028.000 0.302 0.018
1029.000 0.482 0.010
1030.000 0.632 0.012
1031.000 0.835 0.010
1032.000 1.037 0.013
1033.000 1.183 0.069
1034.000 1.190 0.236
1035.000 1.194 0.441
1036.000 1.200 0.651
1037.000 1.185 0.836
1038.000 1.179 1.030
1039.000 1.101 1.184
1040.000 0.962 1.182
1041.000 0.778 1.184
1042.000 0.584 1.193
1043.000 0.392 1.189
1044.000 0.202 1.183
1045.000 0.053 1.157
1046.000 0.025 1.016
1047.000 0.019 0.849
1048.000 0.009 0.682
1049.000 0.016 0.501
1050.000 0.013 0.312
1051.000 0.022 0.119
1052.000 0.081 0.026
1053.000 0.244 0.024
1054.000 0.419 0.020
1055.000 0.622 0.010
1056.000 0.829 0.012
1057.000 1.007 0.018
1058.000 1.179 0.074
1059.000 1.199 0.232
1060.000 1.197 0.416
1061.000 1.182 0.626
1062.000 1.158 0.807
1063.000 1.112 0.982
1064.000 1.093 1.151
1065.000 0.932 1.160
1066.000 0.668 1.190
1067.000 0.406 1.185
1068.000 0.134 1.165
1069.000 0.030 1.032
1070.000 0.027 0.812
1071.000 0.016 0.558
1072.000 0.038 0.326
1073.000 0.050 0.124
1074.000 0.158 0.024
1075.000 0.353 0.018
1076.000 0.537 0.011
1077.000 0.750 0.012
1078.000 0.970 0.020
1079.000 1.164 0.062
1080.000 1.191 0.231
1081.000 1.195 0.438
1082.000 1.177 0.642
1083.000 1.124 0.851
1084.000 0.979 0.947
1085.000 0.872 0.971
1086.000 0.864 1.073
1087.000 0.885 1.191
1088.000 0.731 1.191
1089.000 0.530 1.190
1090.000 0.328 1.187
1091.000 0.155 1.170
1092.000 0.032 1.103
1093.000 0.021 0.941
1094.000 0.020 0.752
1095.000 0.021 0.557
1096.000 0.038 0.385
1097.000 0.055 0.201
1098.000 0.096 0.043
1099.000 0.256 0.026
1100.000 0.435 0.024
1101.000 0.628 0.027
1102.000 0.843 0.017
1103.000 1.026 0.025
1104.000 1.174 0.104
1105.000 1.189 0.278
1106.000 1.186 0.459
1107.000 1.176 0.670
1108.000 1.134 0.898
1109.000 1.064 1.063
1110.000 1.050 1.186
1111.000 0.890 1.189
1112.000 0.763 1.187
1113.000 0.584 1.191
1114.000 0.382 1.186
1115.000 0.190 1.178
1116.000 0.043 1.139
1117.000 0.022 0.989
1118.000 0.014 0.825
1119.000 0.020 0.629
1120.000 0.015 0.446
1121.000 0.013 0.249
1122.000 0.032 0.083
1123.000 0.157 0.026
1124.000 0.311 0.019
1125.000 0.490 0.013
1126.000 0.685 0.008
1127.000 0.877 0.009
1128.000 1.050 0.015
1129.000 1.181 0.054
1130.000 1.193 0.182
1131.000 1.197 0.317
1132.000 1.199 0.500
1133.000 1.198 0.701
1134.000 1.194 0.900
1135.000 1.186 1.092
1136.000 1.092 1.187
1137.000 0.939 1.191
1138.000 0.759 1.195
1139.000 0.580 1.192
1140.000 0.383 1.187
1141.000 0.213 1.181
1142.000 0.064 1.167
1143.000 0.025 1.057
1144.000 0.017 0.898
1145.000 0.010 0.719
1146.000 0.011 0.553
